"filename", "language", "Markdown", "C#", "MSBuild", "JSON", "HTTP", "XML", "EditorConfig", "comment", "blank", "total"
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\obj\Debug\net5.0\Pang.RBAC.Api.MvcApplicationPartsAssemblyInfo.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 9, 5, 17
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\obj\Debug\net5.0\project.razor.json", "JSON", 0, 0, 0, 15606, 0, 0, 0, 0, 0, 15606
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\obj\Debug\net5.0\staticwebassets\Pang.RBAC.Api.StaticWebAssets.xml", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\obj\Pang.RBAC.Api.csproj.EntityFrameworkCore.targets", "MSBuild", 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\obj\Pang.RBAC.Api.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 107, 0, 0, 0, 0, 0, 107
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\obj\Pang.RBAC.Api.csproj.nuget.g.props", "MSBuild", 0, 0, 27, 0, 0, 0, 0, 0, 0, 27
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\obj\Pang.RBAC.Api.csproj.nuget.g.targets", "MSBuild", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\obj\Release\net5.0\.NETCoreApp,Version=v5.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\obj\Release\net5.0\Pang.RBAC.Api.AssemblyInfo.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 10, 5, 25
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\obj\Release\net5.0\Pang.RBAC.Api.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\obj\Release\net5.0\Pang.RBAC.Api.MvcApplicationPartsAssemblyInfo.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 10, 5, 18
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\obj\Release\net5.0\PubTmp\Out\Pang.RBAC.Api.deps.json", "JSON", 0, 0, 0, 4521, 0, 0, 0, 0, 0, 4521
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\obj\Release\net5.0\PubTmp\Out\Pang.RBAC.Api.runtimeconfig.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\obj\Release\net5.0\PubTmp\Out\appsettings.Development.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\obj\Release\net5.0\PubTmp\Out\appsettings.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\obj\Release\net5.0\staticwebassets\Pang.RBAC.Api.StaticWebAssets.xml", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\obj\project.assets.json", "JSON", 0, 0, 0, 2263, 0, 0, 0, 0, 0, 2263
"Total", "-", 5, 3270, 83, 45438, 23, 19, 16, 554, 760, 50168
